,agua,potencia,ambiente
0,27.1,30.4,30.5
1,27.1,31.1,30.5
2,27.2,30.3,30.5
3,27.1,30.8,30.5
4,27.2,30.7,30.5
5,27.2,30.3,30.5
6,27.2,31.0,30.4
7,27.2,30.4,30.4
8,27.3,33.6,30.4
9,27.2,32.7,30.4
10,27.2,32.8,30.3
11,27.2,33.0,30.3
12,27.1,32.3,30.2
13,27.1,32.1,30.2
14,27.1,32.0,30.1
15,27.0,32.4,30.1
16,26.9,32.7,29.9
17,26.9,32.8,29.9
18,26.9,32.0,29.8
19,26.9,32.7,29.8
20,26.8,31.9,29.9
21,26.8,32.1,30.0
22,26.8,32.6,30.0
23,26.8,32.6,30.0
24,26.8,32.7,30.0
25,26.7,32.7,30.0
26,26.6,32.9,30.0
27,26.6,32.3,30.0
28,26.6,30.4,30.0
29,26.6,30.9,30.0
30,26.6,30.7,30.1
31,26.6,30.8,30.1
32,26.6,30.3,30.2
33,26.6,30.4,30.2
34,26.6,30.7,30.2
35,26.6,31.0,30.2
36,26.7,31.4,30.2
37,26.7,31.1,30.2
38,26.7,31.2,30.2
39,26.7,30.1,30.3
40,26.7,31.0,30.3
41,26.8,31.2,30.3
42,26.8,30.8,30.4
43,26.8,30.9,30.3
44,26.8,30.9,30.4
45,26.8,30.6,30.4
46,26.8,30.2,30.4
47,26.8,30.8,30.3
48,26.8,31.0,30.4
49,26.8,30.9,30.4
50,26.8,30.9,30.4
51,26.9,31.0,30.4
52,26.9,30.6,30.4
53,26.9,30.5,30.4
54,26.9,30.6,30.4
55,26.9,31.0,30.3
56,26.9,30.5,30.3
57,26.9,30.8,30.3
58,26.9,30.9,30.4
59,26.9,30.7,30.3
60,26.9,30.8,30.3
61,26.9,30.6,30.4
62,26.9,30.4,30.4
63,27.0,30.8,30.4
64,27.0,30.4,30.4
65,27.0,31.1,30.5
66,27.0,30.4,30.5
67,27.0,30.0,30.5
68,27.1,30.3,30.4
69,27.1,31.1,30.4
70,27.1,30.3,30.4
71,27.1,30.6,30.4
72,27.1,30.3,30.4
73,27.1,30.4,30.4
74,27.1,30.9,30.3
75,27.1,31.3,30.3
76,27.1,31.2,30.3
77,27.1,30.5,30.2
78,27.1,30.8,30.3
79,27.1,30.9,30.3
80,27.2,30.9,30.3
81,27.2,30.2,30.3
82,27.3,33.5,30.3
83,27.2,31.9,30.3
84,27.1,32.3,30.2
85,27.1,33.1,30.1
86,27.1,33.3,30.1
87,27.1,32.3,30.0
88,27.0,32.8,29.9
89,26.9,32.5,29.9
90,26.9,32.4,29.9
91,26.9,32.2,29.8
92,26.9,32.0,29.8
93,26.8,32.1,29.8
94,26.8,33.1,29.8
95,26.8,32.0,29.8
96,26.7,32.8,29.8
97,26.7,32.9,29.8
98,26.7,32.3,29.8
99,26.6,32.3,29.8
100,26.6,30.6,29.8
101,26.6,31.1,29.8
102,26.6,31.1,29.9
103,26.6,30.6,30.0
104,26.6,31.2,30.0
105,26.6,30.6,30.0
106,26.6,31.1,30.0
107,26.7,31.1,30.1
108,26.6,30.3,30.1
109,26.7,30.9,30.2
110,26.7,30.2,30.3
111,26.7,31.0,30.3
112,26.8,30.2,30.3
113,26.8,30.3,30.3
114,26.8,30.8,30.3
115,26.8,30.5,30.2
116,26.8,30.8,30.2
117,26.8,31.0,30.2
118,26.8,31.0,30.2
119,26.8,30.6,30.2
120,26.8,30.9,30.2
121,26.8,30.6,30.3
122,26.8,30.7,30.3
123,26.8,30.9,30.2
124,26.9,31.1,30.2
125,26.9,31.0,30.2
126,26.9,31.5,30.2
127,26.9,30.6,30.2
128,26.9,31.0,30.2
129,26.9,30.7,30.2
130,26.9,30.8,30.2
131,26.9,31.1,30.3
132,26.9,30.8,30.2
133,26.9,30.8,30.2
134,26.9,30.9,30.3
135,26.9,31.1,30.3
136,26.9,31.0,30.2
137,27.0,30.5,30.4
138,27.0,30.6,30.4
139,27.0,30.7,30.4
140,27.0,31.1,30.4
141,27.0,31.1,30.4
142,27.0,30.8,30.4
143,27.1,30.9,30.4
144,27.0,31.3,30.4
145,27.1,30.5,30.4
146,27.1,31.3,30.4
147,27.1,31.2,30.4
148,27.1,31.2,30.4
149,27.1,31.1,30.4
150,27.1,31.2,30.4
151,27.1,31.4,30.4
152,27.1,31.5,30.4
153,27.1,31.5,30.4
154,27.1,30.8,30.4
155,27.1,30.6,30.4
156,27.1,31.0,30.4
157,27.2,31.0,30.5
158,27.1,30.7,30.5
159,27.2,30.5,30.5
160,27.2,30.3,30.5
161,27.2,31.2,30.5
162,27.2,30.3,30.5
163,27.2,31.1,30.5
164,27.2,32.8,30.4
165,27.2,33.0,30.3
166,27.2,33.0,30.2
167,27.1,33.3,30.2
168,27.1,32.9,30.2
169,27.1,33.3,30.1
170,27.0,32.2,30.1
171,26.9,32.6,30.0
172,26.9,32.5,30.0
173,26.9,32.8,30.0
174,26.8,32.4,30.0
175,26.8,32.7,29.9
176,26.8,33.1,29.9
177,26.8,32.6,29.8
178,26.8,32.3,29.8
179,26.7,33.1,29.8
180,26.7,32.3,29.8
181,26.6,33.0,29.8
182,26.6,31.1,29.8
183,26.6,30.7,29.9
184,26.6,30.5,29.9
185,26.6,30.7,30.0
186,26.6,31.4,30.0
187,26.6,31.4,30.0
188,26.6,30.6,30.0
189,26.6,31.3,30.0
190,26.7,31.2,30.1
191,26.7,31.2,30.1
192,26.7,30.5,30.1
193,26.7,31.3,30.2
194,26.7,31.2,30.2
195,26.8,31.3,30.2
196,26.8,30.4,30.2
197,26.8,30.5,30.1
198,26.8,30.7,30.1
199,26.8,31.3,30.1
200,26.8,30.9,30.1
201,26.8,31.1,30.2
202,26.8,31.2,30.1
203,26.9,31.5,30.2
204,26.8,31.6,30.1
205,26.9,31.5,30.1
206,26.9,31.4,30.0
207,26.9,30.6,30.0
208,26.9,30.5,30.1
209,26.9,30.9,30.1
210,26.9,30.7,30.0
211,26.9,30.7,30.1
212,26.9,31.5,30.1
213,26.9,31.5,30.1
214,27.0,31.7,30.2
215,27.0,31.4,30.2
216,26.9,30.9,30.2
217,27.0,31.5,30.2
218,27.0,31.3,30.2
219,27.0,30.8,30.1
220,27.0,30.9,30.1
